Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),mittari_1 (degC),mittari_2 (degC)
1959,1,1,00:00,UTC,0.9980370171462113,10.276036669332777,-0.33793816910221963,-1.8851203436303772,-3.6623716506452952
1959,1,2,00:00,UTC,0.12341281296476442,7.232311873534494,-0.2628085864116546,-2.496543204724283,-5.860018038474522
1959,1,3,00:00,UTC,3.5678116690703816,33.200205966322834,-0.31439773532373794,0.0,-6.511449301157555
1959,1,4,00:00,UTC,1.0883708083926213,12.862410210934671,-0.1686247253117454,0.1436498693280045,-0.9704022902550551
1959,1,5,00:00,UTC,0.3310432678829795,12.329526985953416,-0.08093356229494848,-0.47566390462452657,-0.06468218285510959
1959,1,6,00:00,UTC,1.2726597161415905,25.838091563154432,-2.4312535685564787,-0.32179734649717784,-2.820504480826678
1959,1,7,00:00,UTC,1.414771592552713,3.037740657816018,-0.16733373021291392,-1.256819496517569,-5.669061983800659
1959,1,8,00:00,UTC,0.1293897772437727,9.277461825365997,-1.6106498103469433,-1.8916402472347145,-3.3232395233273877
1959,1,9,00:00,UTC,0.03041771893789208,34.76898780769529,-4.5652440855956,-1.0595005159248672,-2.4528209034333304
1959,1,10,00:00,UTC,0.012167472766210385,27.140657078562235,-1.570365012074218,-1.5945677429547067,-2.5054972728268
1959,1,11,00:00,UTC,3.196111390723805,0.5075097946760956,-0.48745247769888395,-0.38450512338867954,-0.5704172214306797
1959,1,12,00:00,UTC,0.8796486917518861,15.634095139896704,-4.276527395081408,-0.2437648235923768,-4.917324131153718
1959,1,13,00:00,UTC,0.4896100854751833,13.355427405161219,-2.6220297384342586,-4.094329702588093,-5.810821460155495
1959,1,14,00:00,UTC,0.4607966245902788,0.19667793546043377,-1.4203521517962667,-2.737572935827967,-8.14863953118609
1959,1,15,00:00,UTC,0.1495359559788471,31.932410555780628,-7.379077386796346,-6.681823844676096,-5.597237975128104
1959,1,16,00:00,UTC,0.08851565817357518,14.4118170181297,-3.2706755241460135,-1.7901105201286396,-8.911739766985573
1959,1,17,00:00,UTC,0.034784879407880664,18.70647136804479,-15.440249566769092,-0.7027878654977106,-18.377007419414383
1959,1,18,00:00,UTC,-0.09141929621668388,5.344122076009562,-9.853250650584577,-1.5391458563458564,-10.6571100943136
1959,1,19,00:00,UTC,0.08959858724997152,48.200954842076634,-22.16173738910367,-6.187645593290707,-27.198353345018205
1959,1,20,00:00,UTC,-0.12418919781684623,36.16016484082821,-18.351033670680955,-1.2979185517132232,-14.265341347173509
1959,1,21,00:00,UTC,0.8428854733987202,12.503243712313196,-12.665662195085417,-11.092144444068179,-18.785754862753762
1959,1,22,00:00,UTC,0.18083629504785576,9.49602018485664,-0.06749731829295343,-0.717800209503269,-20.07179131222367
1959,1,23,00:00,UTC,0.018938682272199414,27.241553026009257,-5.334101979863737,-2.315182165096544,-15.621350535584078
1959,1,24,00:00,UTC,0.6401057958325349,21.208864073537494,-0.017148013871265324,-0.7818745794382461,-5.12531757752943
1959,1,25,00:00,UTC,0.6778454924594589,17.487387105501206,-7.137320862203955,-1.1994651945765533,-10.165792475156582
1959,1,26,00:00,UTC,-0.06815791695995443,15.200180797074445,-8.04982656453396,-5.080470491501887,-5.2709662774307695
1959,1,27,00:00,UTC,0.3715280979097287,46.51247946890324,-1.930279784151839,0.2389252638706718,-5.582702417382605
1959,1,28,00:00,UTC,-0.8419970851885915,2.8786253155196775,-0.2886488632697164,0.11385307310877946,-7.989053468693017
1959,1,29,00:00,UTC,-0.732534206224408,36.93444442833778,-2.737855596436208,-0.2818174444427452,-10.220624117975145
1959,1,30,00:00,UTC,0.43925820945794547,58.334162439635094,-1.1994400483081693,0.3419478764548727,-1.76469085797163
1959,1,31,00:00,UTC,-0.18371808686008417,20.855815252621557,-5.486554499932176,0.15576714120359691,-0.26682031637136894
1959,2,1,00:00,UTC,-0.18982365389263067,39.81272758645171,-5.839252497446195,-1.3506365598749706,-5.544656597837077
1959,2,2,00:00,UTC,-0.21234491359222585,30.705621064789405,-4.164517775034518,-0.11897746216293614,-15.754653163064608
1959,2,3,00:00,UTC,-0.5752081620021986,1.2231540582527902,-3.800236774265111,-1.4498896041988625,-4.66880140947773
1959,2,4,00:00,UTC,-0.29054207105394136,27.922031377751384,0.26200220171362837,3.7204029573197,-3.6169661953712904
1959,2,5,00:00,UTC,-0.8829994001460613,17.40329557995057,-0.055540373250781094,2.6686747157419695,-1.1226552891513935
1959,2,6,00:00,UTC,-0.9251807723238107,41.34900444929822,-2.199153777655125,-0.569104637589887,-4.860595249615393
1959,2,7,00:00,UTC,-0.5372454987559804,49.13510141072151,-1.0153797157944278,-0.20470425346262947,-3.627017351721396
1959,2,8,00:00,UTC,-0.35655711946961965,21.775835855948706,-1.2274757706190762,-0.1814865444399657,-3.913492702077925
1959,2,9,00:00,UTC,-0.06451414094609165,30.67324332056857,-0.048351956274590435,-0.6329512610721123,-0.3136687243813541
1959,2,10,00:00,UTC,-0.21507849099152343,32.48215883043946,-0.8100757169625216,-0.32782300674931425,-1.299568729668993
1959,2,11,00:00,UTC,0.18573244053079904,22.688440540051975,-5.90858430965041,-2.734806384444737,-12.984479550987137
1959,2,12,00:00,UTC,-0.33689056559672537,14.71387323633017,-3.7895130366443177,-3.571229952223312,-1.3059425235462079
1959,2,13,00:00,UTC,-0.34904465975095655,40.24985472747439,-3.551383188386778,-1.6640971722162066,-2.374890684896876
1959,2,14,00:00,UTC,-0.1795142923846822,49.01259588302,-0.5818811907206581,2.390335986037727,-4.097685813566306
1959,2,15,00:00,UTC,0.3709756330357111,34.860198784458326,-1.5445537837724679,-0.5282176785198793,-2.133241530071503
1959,2,16,00:00,UTC,-0.8269551524292386,41.45271186896233,-3.0139950005263687,0.07972240548195737,-10.82735043045931
